"ID","Month","ResponseTime"
"Blocky Piranha",3,502.305157870722
"Coy Feline",3,504.47912532187
"Civillaw Lorikeet",3,356.531829607144
"Taurine Lunamoth",2,459.93539604132
"Crying Scarab",2,470.459094385158
"Wakeful Echidna",3,356.795446665577
"Wakeful Echidna",4,559.589243068136
"Cephalic Kiskadee",2,551.714753367595
"Southern Bream",1,606.475342317869
"Carbon Buzzard",4,558.199616746676
"Carbon Buzzard",3,359.713659799958
"Hawkeyed Octopus",3,383.08481057121
"Damask Goose",3,362.867117432735
"Jute Cardinal",4,547.039776917447
"Stressed Flee",2,550.615851913487
"Isogonal Bluebird",1,621.07003749526
"Inborn Vireo",3,361.745236772774
"Ducal Eland",2,546.393919232175
"Cruel Loris",3,351.833533488132
"Seared Eland",4,544.66648839425
"Coltish Nauplius",1,572.183613771456
"Secluded Finwhale",2,454.397304943343
"Isogonal Bluebird",3,353.243076808661
"Azure Cockatoo",3,522.244455054025
"Fluffy Ynambu",1,604.745407270892
"Deathful Teledu",4,566.200191532157
"Shared Urubu",1,595.819256360853
"Mutual Rooster",2,548.528753280691
"Illicit Zebra",2,553.686931241262
"Damask Goose",1,612.000438966235
"Generous Anhinga",1,596.340879862083
"Learned Tarsier",1,572.324517994139
"Gemmy Nilgai",2,546.36652476265
"Mutant Mealworm",2,458.442148429404
"Irksome Jaguar",1,577.058965411596
"Cozy Yearling",3,507.076684783267
"Illicit Zebra",3,520.407595294234
"Generous Anhinga",2,535.326544270925
"Finical Chipmunk",1,593.174339880046
"Comely Prawn",4,554.477849854694
"Specific Bushbaby",4,567.225003274
"Glossy Cuckoo",3,541.315944959339
"Missing Elephant",2,479.885085837699
"Civillaw Lorikeet",4,549.853271497003
"Crying Scarab",4,558.574945709797
"Learned Tarsier",2,636.638128447774
"Maxixe Flatfish",2,458.322522036327
"Indigoid Barb",4,634.546163099645
"Metal Duckling",1,590.96277740052
"Coltish Nauplius",3,506.447965267424
"Secluded Finwhale",4,549.071021223422
"Familiar Dairycow",1,631.35847256219
"Deathful Teledu",1,605.848248454743
"Flyable Gorilla",1,627.935671975064
"Pagan Kob",4,547.955603766754
"Carbon Buzzard",1,609.406265400936
"Deranged Quelea",1,604.986914824247
"Pagan Kob",2,448.963968510822
"Primary Elephant",3,511.543042136323
"Deranged Quelea",2,461.556791629083
"Inborn Vireo",4,563.050654752781
"Baby Zebra",1,577.017269308792
"Metal Duckling",2,537.620643433601
"Unequal Imago",4,554.769281306994
"Disused Scaup",4,551.76540034244
"Cracked Mole",1,569.834094372837
"Cephalic Kiskadee",3,510.973621481276
"Familiar Dairycow",4,559.373614468916
"Cephalic Kiskadee",1,579.480202489052
"Suspect Songbird",3,369.286189315003
"Missing Elephant",3,359.068804384686
"Azure Cockatoo",1,598.328513398618
"Irksome Jaguar",2,552.44000470762
"Bardish Crane",4,546.388591369143
"Damask Goose",2,477.340289769978
"Crying Scarab",3,353.937604141626
"Adoring Turaco",3,356.071862799371
"Adored Hogget",1,577.418570564259
"Grayish Sphinx",1,584.431165347213
"Brickish Puffer",1,602.843848546393
"Fluffy Ynambu",3,385.448855267549
"Shameful Coyote",2,548.481049009983
"Outdoor Morayeel",3,356.51132093591
"Deranged Quelea",3,350.664486716487
"Cushiony Marmoset",4,545.033126889412
"Specific Bushbaby",1,604.330327120064
"Finical Chipmunk",2,488.532296049607
"Greasy Dore",2,470.605509140914
"Fluid Baboon",3,359.089909966661
"Aerobic Swift",2,568.189559444116
"Climbing Ovenbird",3,500.976582369198
"Goofy Fairyfly",2,452.680842471015
"Outdoor Morayeel",4,548.007425261232
"Lexical Nutria",1,630.042042616122
"Impolite Dore",2,456.443179690351
"Maxixe Flatfish",3,354.279838433598
"Patronal Erne",3,355.419579956566
"Jaded Arkshell",2,570.354803564098
"Speedy Sparrow",2,550.499789339637
"Daring Penguin",1,613.74190376583
"Deranged Quelea",4,547.782715891813
"Farcical Jackal",1,601.341725758217
"Adoring Turaco",1,600.024529141482
"Jute Cardinal",3,378.343212488678
"Tippable Mastiff",3,503.74621050494
"Jobless Martin",1,629.925789838897
"Harmless Bellfrog",2,453.67192773354
"Flyable Gorilla",2,462.478099097778
"Blocky Piranha",1,574.84774466498
"Ducal Eland",3,503.481298960722
"Crushing Coral",2,453.971539609109
"Fluffy Ynambu",2,500.870364600761
"Careworn Possum",2,554.103720489821
"Precious Falcon",2,457.32045073922
"Brickish Puffer",2,463.872905913032
"Seared Eland",3,363.953819963043
"Coy Feline",1,575.766158719559
"Nuclear Colt",3,506.978670476629
"Farcical Jackal",3,354.698525067783
"Precious Falcon",4,544.489115729447
"Taurine Lunamoth",1,607.536016656415
"Crying Scarab",1,616.072672666091
"Suspect Songbird",4,560.258071648302
"Missing Elephant",4,548.864658050697
"Fatfaced Silkworm",3,527.75965803448
"Inborn Vireo",2,485.308033400688
"Flyable Gorilla",4,569.415642250651
"Seared Eland",1,602.339391225757
"Hawkeyed Octopus",2,464.987454644311
"Specific Bushbaby",3,353.832366098236
"Baby Zebra",2,548.456120831304
"Astatine Thrush",3,520.963276935087
"Crushing Coral",3,364.90086853759
"Nuclear Colt",2,565.011174338176
"Duckie Sealion",3,503.542359299559
"Maxixe Flatfish",4,577.737225760808
"Cordial Skua",1,589.28919183365
"Balmy Javalina",3,354.284251330235
"Taurine Lunamoth",4,601.852828154297
"Joyless Whimbrel",3,508.157426992183
"Mutual Rooster",3,506.255238592199
"Greasy Dore",3,382.938979794371
"Coltish Nauplius",2,551.023095014253
"Spiky Collie",3,502.364500535911
"Suspect Songbird",1,611.19781942828
"Cushiony Marmoset",2,457.035878738154
"Shared Urubu",2,552.342407596947
"Adorable Gaur",2,450.849673802182
"Cruel Loris",4,568.9395490714
"Gluey Buzzard",4,550.766118139137
"Gemmy Nilgai",3,559.106523580048
"Specular Plover",3,516.673299288375
"Hawkeyed Octopus",4,536.322353061877
"Civillaw Lorikeet",1,636.686872151369
"Pagan Kob",3,359.443689723466
"Finical Chipmunk",4,548.708277587489
"Mutant Mealworm",4,544.7204022873
"Comely Prawn",1,622.762347133184
"Missing Elephant",1,647.291093269537
"Fluid Baboon",2,470.455805450242
"Familiar Dairycow",3,352.665737974361
"Specular Plover",1,602.944673556651
"Dashing Rodent",1,571.84311603826
"Deathful Teledu",2,450.150714131904
"Key Hogget",4,550.779823397021
"Illicit Zebra",1,581.956242075996
"Metal Duckling",3,585.308242651483
"Indigoid Barb",1,613.491004125566
"Adorable Gaur",4,547.158069185816
"Abased Pewee",2,554.124700479123
"Careworn Possum",3,506.147381129572
"Unequal Imago",1,615.878100197085
"Varying Plankton",1,586.797027864055
"Carbon Buzzard",2,465.536582301047
"Goofy Fairyfly",4,555.713325399624
"Rural Parrot",1,577.016097348865
"Climbing Ovenbird",2,547.862697505726
"Cordial Skua",3,519.277124822697
"Nuclear Colt",1,587.369855564829
"Edacious Rat",3,535.092492008738
"Patronal Erne",1,613.936652370079
"Bardish Crane",2,464.355941001998
"Eternal Sable",1,590.578426321935
"Precious Falcon",1,626.790183832147
"Demure Hedgehog",1,606.937266894859
"Jobless Martin",4,607.395165927954
"Stressed Flee",3,514.664590283057
"Jaded Arkshell",3,517.758479167727
"Southern Bream",2,449.319837195149
"Pagan Kob",1,605.147785933643
"Lexical Nutria",2,487.321614465003
"Jute Cardinal",2,468.998894398517
"Demure Hedgehog",3,366.585272163471
"Astatine Thrush",1,605.764920025616
"Fatfaced Silkworm",2,598.545609004898
"Dreamy Coqui",3,506.776810995235
"Aerobic Swift",1,606.106315429896
"Fatfaced Silkworm",1,591.726677367424
"Balmy Javalina",1,611.938987037655
"Harmless Bellfrog",4,553.748339071079
"Greedy Bison",3,543.711989182802
