Subject,Interface,Technique,Errors
1,1,A,4
1,1,B,1
1,1,C,7
2,1,A,1
2,1,B,3
2,1,C,5
3,1,A,6
3,1,B,3
3,1,C,3
4,1,A,0
4,1,B,2
4,1,C,6
5,1,A,2
5,1,B,4
5,1,C,7
6,1,A,3
6,1,B,4
6,1,C,6
7,1,A,6
7,1,B,1
7,1,C,4
8,1,A,5
8,1,B,3
8,1,C,1
9,2,A,8
9,2,B,3
9,2,C,3
10,2,A,5
10,2,B,3
10,2,C,2
11,2,A,0
11,2,B,5
11,2,C,3
12,2,A,2
12,2,B,2
12,2,C,5
13,2,A,4
13,2,B,1
13,2,C,0
14,2,A,2
14,2,B,1
14,2,C,1
15,2,A,6
15,2,B,1
15,2,C,3
16,2,A,2
16,2,B,3
16,2,C,4
17,2,A,2
17,2,B,5
17,2,C,0
18,2,A,3
18,2,B,2
18,2,C,5
19,1,A,5
19,1,B,7
19,1,C,1
20,2,A,2
20,2,B,2
20,2,C,2
21,2,A,4
21,2,B,2
21,2,C,0
22,1,A,1
22,1,B,3
22,1,C,4
23,1,A,5
23,1,B,1
23,1,C,3
24,1,A,5
24,1,B,3
24,1,C,2
